"date","rank","song","artist"
"2001-01-01",1,"Independent Women Part I","Destiny's Child"
"2001-01-01",2,"He Loves U Not","Dream"
"2001-01-01",3,"It Wasn't Me","Shaggy Feat. Ricardo ""RikRok"" Ducent"
"2001-01-01",4,"Case Of The Ex (Whatcha Gonna Do)","Mya"
"2001-01-01",5,"With Arms Wide Open","Creed"
"2001-01-01",6,"Ms. Jackson","OutKast"
"2001-01-01",7,"The Way You Love Me","Faith Hill"
"2001-01-01",8,"Dance With Me","Debelah Morgan"
"2001-01-01",9,"If You're Gone","matchbox twenty"
"2001-01-01",10,"Liquid Dreams","O-Town"
"2001-01-01",11,"This I Promise You","*NSYNC"
"2001-01-01",12,"I Just Wanna Love U (Give It 2 Me)","JAY-Z"
"2001-01-01",13,"Again","Lenny Kravitz"
"2001-01-01",14,"Love Don't Cost A Thing","Jennifer Lopez"
"2001-01-01",15,"Kryptonite","3 Doors Down"
"2001-01-01",16,"Most Girls","P!nk"
"2001-01-01",17,"Gotta Tell You","Samantha Mumba"
"2001-01-01",18,"I Wish","R. Kelly"
"2001-01-01",19,"E.I.","Nelly"
"2001-01-01",20,"Pinch Me","Barenaked Ladies"
"2001-01-01",21,"Crazy For This Girl","Evan And Jaron"
"2001-01-01",22,"Stronger","Britney Spears"
"2001-01-01",23,"Danger (Been So Long)","Mystikal Featuring Nivea"
"2001-01-01",24,"What's Your Fantasy","Ludacris Featuring Shawnna"
"2001-01-01",25,"So In Love With Two","Mikaila"
"2001-01-01",26,"Don't Tell Me","Madonna"
"2001-01-01",27,"Music","Madonna"
"2001-01-01",28,"Beautiful Day","Backstreet Boys"
"2001-01-01",29,"Shape Of My Heart","Ja Rule Featuring Christina Milian"
"2001-01-01",30,"Between Me And You","Avant Featuring KeKe Wyatt"
"2001-01-01",31,"My First Love","K-Ci & JoJo"
"2001-01-01",32,"Crazy","Lil Bow Wow"
"2001-01-01",33,"Bow Wow (That's My Name)","Fuel"
"2001-01-01",34,"Hemorrhage (In My Hands)","Musiq"
"2001-01-01",35,"Just Friends (Sunny)","Kandi"
"2001-01-01",36,"Don't Think I'm Not","Moby Featuring Gwen Stefani"
"2001-01-01",37,"South Side","matchbox twenty"
"2001-01-01",38,"Bent","Public Announcement"
"2001-01-01",39,"Mamacita","Tim McGraw"
"2001-01-01",40,"My Next Thirty Years","3LW"
"2001-01-01",41,"No More (Baby I'ma Do Right)","NewSong"
"2001-01-01",42,"The Christmas Shoes","98 Degrees"
"2001-01-01",43,"My Everything","Dixie Chicks"
"2001-01-01",44,"Without You","Kenny Chesney"
"2001-01-01",45,"I Lost It","Sara Evans"
"2001-01-01",46,"Born To Fly","Cash Money Millionaires"
"2001-01-01",47,"Project Chick","Vertical Horizon"
"2001-01-01",48,"You're A God","Travis Tritt"
"2001-01-01",49,"Best Of Intentions","Jagged Edge"
"2001-01-01",50,"Promise","Dave Hollister"
"2001-01-01",51,"One Woman Man","Ja Rule Featuring Lil' Mo & Vita"
"2001-01-01",52,"Put It On Me","Carl Thomas"
"2001-01-01",53,"Emotional","Ricky Martin"
"2001-01-01",54,"She Bangs","Brad Paisley"
"2001-01-01",55,"We Danced","Lonestar"
"2001-01-01",56,"Tell Her","Shaggy Featuring Rayvon"
"2001-01-01",57,"Angel","Vitamin C"
"2001-01-01",58,"The Itch","3 Doors Down"
"2001-01-01",59,"Loser","Wyclef Jean Featuring Mary J. Blige"
"2001-01-01",60,"It's Over Now","Phil Vassar"
"2001-01-01",61,"911","Billy Gilman"
"2001-01-01",62,"Just Another Day In Paradise","David Gray"
"2001-01-01",63,"Oklahoma","NEW"
"2001-01-01",64,"Babylon","NEW"
"2001-01-01",65,"Where Are You Christmas?","Faith Hill"
"2001-01-01",66,"Ashes By Now","Lee Ann Womack"
"2001-01-01",67,"Still On Your Side","BBMak"
"2001-01-01",68,"You Make Me Sick","NEW"
"2001-01-01",69,"www.memory","NEW"
"2001-01-01",70,"Stan","P!nk"
"2001-01-01",71,"Is That Your Chick","Alan Jackson"
"2001-01-01",72,"Burn","Eminem Featuring Dido"
"2001-01-01",73,"Stutter","Memphis Bleek Featuring Jay-Z & Missy Elliott"
"2001-01-01",74,"Rollin'","Jo Dee Messina"
"2001-01-01",75,"Butterfly","NEW"
"2001-01-01",76,"X","NEW"
"2001-01-01",77,"There Is No Arizona","Joe Featuring Mystikal"
"2001-01-01",78,"Could It Be","Limp Bizkit"
"2001-01-01",79,"Can't Fight The Moonlight","NEW"
"2001-01-01",80,"Thank You In Advance","NEW"
"2001-01-01",81,"Wild Horses","Crazy Town"
"2001-01-01",82,"But For The Grace Of God","Xzibit"
"2001-01-01",83,"The Little Girl","Jamie O'Neal"
"2001-01-01",84,"Meanwhile Back At The Ranch","Jaheim"
"2001-01-01",85,"You Shouldn't Kiss Me Like This","LeAnn Rimes"
"2001-01-01",86,"Liar","Boyz II Men"
"2001-01-01",87,"This Everyday Love","Garth Brooks"
"2001-01-01",88,"Oh No","Keith Urban"
"2001-01-01",89,"Open My Heart","John Michael Montgomery"
"2001-01-01",90,"You Should've Told Me","The Clark Family Experience"
"2001-01-01",91,"Original Prankster","Toby Keith"
"2001-01-01",92,"Girls Dem Sugar","Profyle"
"2001-01-01",93,"Bouncing Off The Ceiling (Upside Down)","Rascal Flatts"
"2001-01-01",94,"My Baby You","Mos Def & Pharoahe Monch Featuring Nate Dogg"
