"date","rank","song","artist"
"1987-01-01",1,"Walk Like An Egyptian","The Bangles"
"1987-01-01",2,"Everybody Have Fun Tonight","Wang Chung"
"1987-01-01",3,"Notorious","Duran Duran"
"1987-01-01",4,"Shake You Down","Gregory Abbott"
"1987-01-01",5,"The Way It Is","Bruce Hornsby & The Range"
"1987-01-01",6,"C'est La Vie","Robbie Nevil"
"1987-01-01",7,"Control","Janet Jackson"
"1987-01-01",8,"War","Bruce Springsteen"
"1987-01-01",9,"Stand By Me","Ben E. King"
"1987-01-01",10,"Don't Get Me Wrong","Pretenders"
"1987-01-01",11,"To Be A Lover","Billy Idol"
"1987-01-01",12,"Is This Love","Survivor"
"1987-01-01",13,"Land Of Confusion","Genesis"
"1987-01-01",14,"Victory","Kool & The Gang"
"1987-01-01",15,"At This Moment","Billy Vera & The Beaters"
"1987-01-01",16,"Love Is Forever","Billy Ocean"
"1987-01-01",17,"You Know I Love You ... Don't You?","Howard Jones"
"1987-01-01",18,"Someday","Glass Tiger"
"1987-01-01",19,"The Future's So Bright, I Gotta Wear Shades","Timbuk 3"
"1987-01-01",20,"Hip To Be Square","Huey Lewis & The News"
"1987-01-01",21,"The Next Time I Fall","Peter Cetera With Amy Grant"
"1987-01-01",22,"Open Your Heart","Madonna"
"1987-01-01",23,"All I Wanted","Kansas"
"1987-01-01",24,"You Give Love A Bad Name","Bon Jovi"
"1987-01-01",25,"Coming Around Again","Carly Simon"
"1987-01-01",26,"Change Of Heart","Cyndi Lauper"
"1987-01-01",27,"Touch Me (I Want Your Body)","Samantha Fox"
"1987-01-01",28,"Falling In Love (Uh-Oh)","Miami Sound Machine"
"1987-01-01",29,"You Be Illin'","Run-D.M.C."
"1987-01-01",30,"Keep Your Hands To Yourself","The Georgia Satellites"
"1987-01-01",31,"Two People","Tina Turner"
"1987-01-01",32,"For Tonight","Nancy Martinez"
"1987-01-01",33,"Word Up","Cameo"
"1987-01-01",34,"This Is The Time","Billy Joel"
"1987-01-01",35,"We're Ready","Boston"
