"date","rank","song","artist"
"1976-01-01",1,"Saturday Night","Bay City Rollers"
"1976-01-01",2,"I Write The Songs","Barry Manilow"
"1976-01-01",3,"Theme From Mahogany (Do You Know Where You're Going To)","Diana Ross"
"1976-01-01",4,"Love Rollercoaster","Ohio Players"
"1976-01-01",5,"Let's Do It Again","The Staple Singers"
"1976-01-01",6,"Convoy","C.W. McCall"
"1976-01-01",7,"Fox On The Run","Sweet"
"1976-01-01",8,"That's The Way (I Like It)","KC And The Sunshine Band"
"1976-01-01",9,"I Love Music (Part 1)","The O'Jays"
"1976-01-01",10,"Fly, Robin, Fly","Silver Convention"
"1976-01-01",11,"Love To Love You Baby","Donna Summer"
"1976-01-01",12,"Times Of Your Life","Paul Anka"
"1976-01-01",13,"Walk Away From Love","David Ruffin"
"1976-01-01",14,"Country Boy (You Got Your Feet In L.A.)","Glen Campbell"
"1976-01-01",15,"Sing A Song","Earth, Wind & Fire"
"1976-01-01",16,"You Sexy Thing","Hot Chocolate"
"1976-01-01",17,"Rock And Roll All Nite (live)","KISS"
"1976-01-01",18,"Fly Away","John Denver"
"1976-01-01",19,"Sky High","Jigsaw"
"1976-01-01",20,"Evil Woman","Electric Light Orchestra"
"1976-01-01",21,"Nights On Broadway","Bee Gees"
"1976-01-01",22,"Love Machine (Part 1)","The Miracles"
"1976-01-01",23,"Over My Head","Fleetwood Mac"
"1976-01-01",24,"For The Love Of You (Part 1&2)","The Isley Brothers"
"1976-01-01",25,"Love Hurts","Nazareth"
"1976-01-01",26,"Winners And Losers","Hamilton, Joe Frank & Reynolds"
"1976-01-01",27,"Wake Up Everybody (Part 1)","Harold Melvin And The Blue Notes"
"1976-01-01",28,"Breaking Up Is Hard To Do","Neil Sedaka"
"1976-01-01",29,"Baby Face","The Wing And A Prayer Fife & Drum Corps."
"1976-01-01",30,"Somewhere In The Night","Helen Reddy"
"1976-01-01",31,"Part Time Love","Gladys Knight And The Pips"
"1976-01-01",32,"Island Girl","Elton John"
"1976-01-01",33,"School Boy Crush","AWB"
"1976-01-01",34,"50 Ways To Leave Your Lover","Paul Simon"
"1976-01-01",35,"Hurricane (Part 1)","Bob Dylan"
"1976-01-01",36,"Let It Shine/He Ain't Heavy...He's My Brother","Olivia Newton-John"
"1976-01-01",37,"Let's Live Together","The Road Apples"
"1976-01-01",38,"Full Of Fire","Al Green"
"1976-01-01",39,"The Way I Want To Touch You","Captain & Tennille"
"1976-01-01",40,"Squeeze Box","The Who"
"1976-01-01",41,"Paloma Blanca","George Baker Selection"
"1976-01-01",42,"Our Day Will Come","Frankie Valli"
"1976-01-01",43,"Down To The Line","Bachman-Turner Overdrive"
"1976-01-01",44,"Golden Years","David Bowie"
"1976-01-01",45,"My Little Town","Simon & Garfunkel"
"1976-01-01",46,"Woman Tonight","America"
"1976-01-01",47,"Fire On The Mountain","The Marshall Tucker Band"
"1976-01-01",48,"This Old Man","Purple Reign"
"1976-01-01",49,"Volare","Al Martino"
"1976-01-01",50,"Slow Ride","Foghat"
"1976-01-01",51,"Play On Love","Jefferson Starship"
"1976-01-01",52,"Free Ride","Tavares"
"1976-01-01",53,"Theme From S.W.A.T.","Rhythm Heritage"
"1976-01-01",54,"The Last Game Of The Season (A Blind Man In The Bleachers)","David Geddes"
"1976-01-01",55,"Take It To The Limit","Eagles"
"1976-01-01",56,"All By Myself","Eric Carmen"
"1976-01-01",57,"Deep Purple","Donny & Marie Osmond"
"1976-01-01",58,"Christmas For Cowboys","John Denver"
"1976-01-01",59,"Inseparable","Natalie Cole"
"1976-01-01",60,"Let The Music Play","Barry White"
"1976-01-01",61,"Tracks Of My Tears","Linda Ronstadt"
"1976-01-01",62,"Easy As Pie","Billy ""Crash"" Craddock"
"1976-01-01",63,"Fanny (Be Tender With My Love)","Bee Gees"
"1976-01-01",64,"Feelings","Morris Albert"
"1976-01-01",65,"Going Down Slowly","The Pointer Sisters"
"1976-01-01",66,"Love Or Leave","The Spinners"
"1976-01-01",67,"The Blind Man In The Bleachers","Kenny Starr"
"1976-01-01",68,"The Homecoming","Hagood Hardy"
"1976-01-01",69,"For A Dancer","Prelude"
"1976-01-01",70,"Yesterday's Hero","John Paul Young"
"1976-01-01",71,"Break Away","Art Garfunkel"
"1976-01-01",72,"Sweet Love","Commodores"
"1976-01-01",73,"Back To The Island","NEW"
"1976-01-01",74,"December, 1963 (Oh, What a Night)","NEW"
"1976-01-01",75,"Soul Train ""75""","Leon Russell"
"1976-01-01",76,"I Cheat The Hangman","The 4 Seasons"
"1976-01-01",77,"The White Knight","Soul Train Gang"
"1976-01-01",78,"Don't Cry Joni","The Doobie Brothers"
"1976-01-01",79,"Love Is The Drug","Cledus Maggard And The Citizen's Band"
"1976-01-01",80,"Lady Bump","Conway Twitty with Joni Lee"
"1976-01-01",81,"Bohemian Rhapsody","Roxy Music"
"1976-01-01",82,"Sweet Thing","NEW"
"1976-01-01",83,"Art For Art's Sake","NEW"
"1976-01-01",84,"That's Why I Love You","Penny Mclean"
"1976-01-01",85,"Only Sixteen","NEW"
"1976-01-01",86,"Amazing Grace (used To Be Her Favorite Song)","NEW"
"1976-01-01",87,"Chain Gang Medley","Queen"
"1976-01-01",88,"Funky Weekend","NEW"
"1976-01-01",89,"Every Beat Of My Heart","NEW"
"1976-01-01",90,"Hollywood Hot","Rufus Featuring Chaka Khan"
"1976-01-01",91,"The Zip","10cc"
"1976-01-01",92,"Happy","NEW"
"1976-01-01",93,"Make Love To Your Mind","NEW"
"1976-01-01",94,"Breakfast For Two","Andrew Gold"
"1976-01-01",95,"I Believe In Father Christmas","NEW"
"1976-01-01",96,"Blue Guitar","NEW"
"1976-01-01",97,"Who Loves You","Dr. Hook"
"1976-01-01",98,"Dream Weaver","Amazing Rhythm Aces"
"1976-01-01",99,"Valentine Love","NEW"
"1976-01-01",100,"Daydreamer","NEW"
"1976-01-08",1,"Convoy","C.W. McCall"
"1976-01-08",2,"I Write The Songs","Barry Manilow"
"1976-01-08",3,"Theme From Mahogany (Do You Know Where You're Going To)","Diana Ross"
"1976-01-08",4,"Love Rollercoaster","Ohio Players"
"1976-01-08",5,"Saturday Night","Bay City Rollers"
"1976-01-08",6,"Fox On The Run","Sweet"
"1976-01-08",7,"I Love Music (Part 1)","The O'Jays"
"1976-01-08",8,"That's The Way (I Like It)","KC And The Sunshine Band"
"1976-01-08",9,"Love To Love You Baby","Donna Summer"
"1976-01-08",10,"Times Of Your Life","Paul Anka"
